./opcode/0/351f49ccd591afe44a81d5d1bf4eca30.vir.txt
B A B A  : 0.0006469378276159511
8 37 8 37  : 1.658814942605003e-05
E B B 2  : 1.658814942605003e-05
15 6 9 21  : 3.317629885210006e-05
7 6 33 A  : 1.658814942605003e-05
15 A 19 29  : 1.658814942605003e-05
28 F 3 A  : 1.658814942605003e-05
15 2 15 A  : 1.658814942605003e-05
2 2 15 6  : 4.976444827815009e-05
7 8 17 3  : 1.658814942605003e-05
3 8 32 3  : 1.658814942605003e-05
8 37 B 8  : 1.658814942605003e-05
37 D B 2  : 1.658814942605003e-05
9 19 F 12  : 1.658814942605003e-05
1 1 8 32  : 1.658814942605003e-05
7 15 2 21  : 1.658814942605003e-05
9 F 3 2  : 1.658814942605003e-05
2 2 14 F6  : 1.658814942605003e-05
15 1B 15 21  : 1.658814942605003e-05
9 10 A 10  : 1.658814942605003e-05
1 12 6 1D  : 1.658814942605003e-05
7 8 33 2  : 3.317629885210006e-05
14 E 53 81  : 1.658814942605003e-05
35 7 2 14  : 1.658814942605003e-05
7 E 53 81  : 1.658814942605003e-05
35 7 E 53  : 1.658814942605003e-05
81 A 19 8  : 1.658814942605003e-05
33 2 14 E  : 1.658814942605003e-05
53 C8 35 7  : 3.317629885210006e-05
2 14 7 E  : 1.658814942605003e-05
E 53 C8 A  : 1.658814942605003e-05
55 53 A 55  : 1.658814942605003e-05
5D F 10 A  : 1.658814942605003e-05
1 12 1 4  : 1.658814942605003e-05
14 8 7 8  : 3.317629885210006e-05
10 1 2 B  : 0.004777387034702409
5 2 E 1  : 3.317629885210006e-05
4 6 9 12  : 0.000563997080485701
2 E 1 E  : 0.00021564594253865039
F F F 2  : 0.006801141264680512
1 2 1 4  : 0.0023886935173512043
10 A A 5  : 0.00014929334483445027
14 5 14 1B  : 1.658814942605003e-05
C9 5B 50 10  : 1.658814942605003e-05
A 10 2 2  : 1.658814942605003e-05
2 10 1 1  : 0.00046446818392940084
15 2B F F  : 1.658814942605003e-05
1 1 12 2  : 0.0008957600690067016
2 2 12 1  : 0.0019739897816999537
1 1 2 E  : 0.001144582310397452
2 4 E E  : 0.0003317629885210006
4 2 4 1  : 0.00029858668966890054
2 4 1 2  : 0.0012772875058058523
4 1 2 4  : 0.0007464667241722513
8 1E 12 F  : 1.658814942605003e-05
F F 2 1  : 0.004644681839294009
E 4 10 A  : 0.0020735186782562536
A 2 F F  : 0.0007298785747462014
6 7 2 10  : 8.294074713025015e-05
1 2 2 4  : 0.0036825691725831068
4 2 2 4  : 0.007215845000331763
F 10 1 2  : 0.009853360759073717
F 10 B 2  : 1.658814942605003e-05
10 6 7 B  : 1.658814942605003e-05
4 6 7 4  : 8.294074713025015e-05
F B 10 4  : 1.658814942605003e-05
6 29 4 10  : 1.658814942605003e-05
6 7 2 2  : 0.0037157454714352067
1 2 2 4A  : 1.658814942605003e-05
2 12 1 35  : 1.658814942605003e-05
21 2B F 14  : 1.658814942605003e-05
2B 2 2 2  : 1.658814942605003e-05
6 7 1 2  : 0.00021564594253865039
6 7 2 A  : 0.00038152743679915066
8 7 F 2  : 1.658814942605003e-05
9 8 9 F  : 1.658814942605003e-05
2 2 6 7  : 0.0030853957932453057
4 2 6 9  : 0.00046446818392940084
F F 10 1F  : 3.317629885210006e-05
8 23 8 17  : 4.976444827815009e-05
39 B A A  : 1.658814942605003e-05
14 B 2 2  : 1.658814942605003e-05
A 10 1 2  : 4.976444827815009e-05
2 12 1 1  : 0.003947979563399907
1 2 12 2  : 0.0007464667241722513
6 7 2 6  : 0.00021564594253865039
7 B 2 8  : 1.658814942605003e-05
7 2 1 2  : 0.00024882224139075043
4 A E 2  : 0.000547408931059651
2 4 2 2  : 0.01589144715015593
4 8 27 12  : 1.658814942605003e-05
1 E 4 10  : 0.0014929334483445027
A A 2 F  : 0.0008128193218764515
2 B 2 8  : 0.00014929334483445027
8 7 B 21  : 1.658814942605003e-05
2 A 12 F  : 3.317629885210006e-05
9 12 F F  : 0.000547408931059651
10 2 F F  : 0.00013270519540840023
10 6 7 2  : 0.00013270519540840023
2 8 7 2  : 0.0035830402760268065
6 9 2 A  : 0.00023223409196470042
10 1 1F A  : 1.658814942605003e-05
5 1 B A8  : 1.658814942605003e-05
7 F 2 6  : 1.658814942605003e-05
9 F 10 F  : 1.658814942605003e-05
B 3 2 F  : 1.658814942605003e-05
4 F F 7  : 1.658814942605003e-05
A F A 10  : 1.658814942605003e-05
2 F 9 F  : 1.658814942605003e-05
A 10 A 2  : 1.658814942605003e-05
8 7 2 6  : 0.0003151748390949506
9 10 2 10  : 1.658814942605003e-05
B 2 10 2  : 1.658814942605003e-05
10 10 10 10  : 8.294074713025015e-05
1 2 1B 7  : 1.658814942605003e-05
8 23 1 2  : 1.658814942605003e-05
4 F 7 2  : 1.658814942605003e-05
F A F 2  : 1.658814942605003e-05
A 10 1 1  : 4.976444827815009e-05
1 12 12 2  : 6.635259770420012e-05
A 2 2 6  : 0.00019905779311260035
7 2 B 2  : 8.294074713025015e-05
8 7 2 B  : 4.976444827815009e-05
21 9 2 6  : 6.635259770420012e-05
9 A 2 A  : 1.658814942605003e-05
2 2 12 14  : 0.0001658814942605003
9 21 9 2  : 1.658814942605003e-05
12 12 A 2  : 1.658814942605003e-05
2 6 7 2  : 0.002803397253002455
B 8 7 2  : 3.317629885210006e-05
B 12 2 15  : 1.658814942605003e-05
2B F F F  : 3.317629885210006e-05
12 12 2 1  : 1.658814942605003e-05
7 E 21 9  : 1.658814942605003e-05
2 6 9 F  : 6.635259770420012e-05
