./opcode/0/5caf1deb7bbc28723f2a1af9492344fd.vir.txt
A A A A  : 0.18555008210180624
2 2 4 7  : 0.0008210180623973727
4 B 55 5B  : 0.0024630541871921183
E E E 4  : 0.0008210180623973727
6 29 2 6  : 0.0008210180623973727
29 21 8 37  : 0.0008210180623973727
21 2 21 9  : 0.0008210180623973727
5 1 4 8A  : 0.0008210180623973727
1 1 1 5  : 0.0008210180623973727
4 E 4 10  : 0.0016420361247947454
A A F 2  : 0.0016420361247947454
B 1 12 2  : 0.0016420361247947454
6 29 4 B  : 0.0008210180623973727
55 5B 12 2  : 0.0008210180623973727
1 1 1 E  : 0.0016420361247947454
2 1 E 2  : 0.0008210180623973727
E E 12 4  : 0.0008210180623973727
53 8A 55 5B  : 0.0024630541871921183
2 8 7 E  : 0.0008210180623973727
4 15 29 4  : 0.0008210180623973727
B 55 5B 4  : 0.0024630541871921183
E 12 4 E  : 0.0008210180623973727
2 4 2 D  : 0.0008210180623973727
3 2 9D 95  : 0.0008210180623973727
4 2 D 3  : 0.0008210180623973727
2 9D 95 55  : 0.0008210180623973727
5B 2 2 4  : 0.0008210180623973727
15 29 4 B  : 0.0008210180623973727
2 4 12 A  : 0.0008210180623973727
E E 2 4  : 0.0008210180623973727
15 E 2 2  : 0.0008210180623973727
8 1D 1 1  : 0.0008210180623973727
1 2 2 1B  : 0.0008210180623973727
1 1 2 12  : 0.0008210180623973727
6 29 1 1  : 0.0008210180623973727
2 4 A 1  : 0.0008210180623973727
1 2 2 4  : 0.0016420361247947454
4 2 4 8  : 0.0008210180623973727
37 A 2 4  : 0.0008210180623973727
A E 2 2  : 0.0008210180623973727
E 12 2 2  : 0.0016420361247947454
4 2 F 4  : 0.0008210180623973727
A 2 4 A  : 0.0008210180623973727
4 2 1 E  : 0.0024630541871921183
2 F 4 A  : 0.0024630541871921183
2 2 F 4  : 0.0016420361247947454
F A E 2  : 0.0008210180623973727
1 E 2 2  : 0.0008210180623973727
4 2 F F  : 0.0008210180623973727
4 A 2 2  : 0.0024630541871921183
2 A A 2  : 0.0008210180623973727
2 4 4 1  : 0.0008210180623973727
2 4 2 8  : 0.0008210180623973727
2 E 1 2  : 0.0024630541871921183
2 2 E 12  : 0.003284072249589491
2 4 4 12  : 0.0016420361247947454
1 2 4 2  : 0.0016420361247947454
2 4 2 6  : 0.0008210180623973727
1D 15 12 4  : 0.0008210180623973727
8C 4C 8D 32  : 0.0008210180623973727
2 2 2 8  : 0.0008210180623973727
37 A E 1  : 0.0008210180623973727
2 4 1 E  : 0.0008210180623973727
4 2 2 12  : 0.0016420361247947454
4 A E 1  : 0.003284072249589491
2 2 4 F  : 0.0008210180623973727
2 4 F A  : 0.0008210180623973727
E 12 2 4  : 0.0016420361247947454
2 2 1B 4  : 0.0008210180623973727
4 4 A 2  : 0.0008210180623973727
2 2 8 9  : 0.0008210180623973727
2 A 2 2  : 0.0008210180623973727
9D 9E B 55  : 0.0008210180623973727
5B E 12 4  : 0.0008210180623973727
8A B 55 5B  : 0.0024630541871921183
2 4 4 9D  : 0.0008210180623973727
9E B 55 5B  : 0.0024630541871921183
4 8A B 55  : 0.0008210180623973727
2 2 12 2  : 0.0016420361247947454
2 8 9 2  : 0.0016420361247947454
A 2 2 2  : 0.0016420361247947454
2 2 4 9D  : 0.0016420361247947454
2 2 4 8A  : 0.0016420361247947454
12 4 2 2  : 0.0016420361247947454
4 4 9D 9E  : 0.0016420361247947454
2 2 12 12  : 0.0008210180623973727
1B 4 2 2  : 0.0008210180623973727
